 id  |   genome   |      v1 - v2      | fragment1 - fragment2 |    repeat1 - repeat2    |  cc_id  | s_edge | repeat_guidance | MC 
206  |    dog     |   1705t - 1738h   |     10_67 - 10_68     |   L1_Cf(t) - L1_Cf(h)   |  9144   |  True  | L1_Cftou, L1_Cfhoi | dog 
207  |    dog     |  16892h - 13803t  |     -3_90 - -3_89     |   L1_Cf(h) - L1_Cf(t)   |  9204   |  True  | L1_Cfhou, L1_Cftoi | dog 
208  |    dog     |   3577h - 20554t  |      2_99 - 2_100     | L1_Canis1(h) - L1_Canis1(t) |  9249   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
209  |    dog     |  21244t - 4516h   |      34_6 - 34_8      | L1_Canis1(h) - L1_Canis1(h) |  9295   |  True  | L1_Canis1hou, L1_Canis1toi, L1_Canis1tou, L1_Canis1hoi | dog 
210  |    dog     |   5153h - 9871h   |     -2_87 - -2_86     |   L1_Cf(t) - L1_Cf(h)   |  9353   |  True  | L1_Cftou, L1_Cfhoi | dog 
211  |    dog     |  17674t - 16991h  |     23_23 - 23_24     | L1_Canis1(h) - L1_Canis1(t) |  9524   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
212  |    dog     |  17344t - 16529t  |     -4_19 - -4_18     | L1_Canis1(t) - L1_Canis1(h) |  9633   |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
213  |    dog     |  16825h - 675h    |     13_53 - -13_52    |   L1_Cf(h) - L1_Cf(h)   |  9805   | False  | L1_Cfhou, L1_Cftoi, L1_Cftou, L1_Cfhoi | dog 
214  |    dog     |   5336t - 53106h  |     X_196 - X_200     |   L1_Cf(t) - L1_Cf(t)   |  9862   |  True  | L1_Cftou, L1_Cfhoi, L1_Cfhou, L1_Cftoi | dog 
215  |    dog     |  15443t - 8406t   |     23_52 - 23_54     | L1_Canis1(t) - L1_Cf(h)   |  9890   |  True  | L1_Canis1tou, L1_Canis1hoi, L1_Cftou, L1_Cfhoi | dog 
216  |    dog     |  12555h - 20946h  |     -27_4 - -27_3     | L1_Canis1(h) - L1_Canis1(t) |  9908   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
217  |    dog     |    259h - 11452t  |     -5_56 - -5_55     | L1_Canis1(h) - L1_Canis1(t) |  9917   |  True  | L1_Canis1hou, L1_Canis1toi | dog 
218  |    dog     |   7067t - 7735t   |    -19_81 - -19_79    |   L1_Cf(t) - L1_Cf(t)   |  9977   |  True  | L1_Cftou, L1_Cfhoi, L1_Cfhou, L1_Cftoi | dog 
219  |    dog     |   5461h - 9775t   |     -24_6 - -24_3     | L1_Canis1(t) - L1_Canis1(t) |  10019  |  True  | L1_Canis1tou, L1_Canis1hoi, L1_Canis1hou, L1_Canis1toi | dog 
220  |    dog     |   9732t - 16775t  |      7_91 - 7_92      |   L1_Cf(h) - L1_Cf(t)   |  10153  |  True  | L1_Cfhou, L1_Cftoi | dog 
221  |    dog     |  22197h - 24859t  |     22_38 - 22_43     |   L1_Cf(t) - L1_Cf(h)   |  10181  |  True  | L1_Cftou, L1_Cfhoi | dog 
222  |    dog     |  35609h - 14543h  |     20_39 - 20_40     |   L1_Cf(h) - L1_Cf(t)   |  10190  |  True  | L1_Cfhou, L1_Cftoi | dog 
223  |    dog     |  28221t - 12658t  |     7_108 - 7_109     |   L1_Cf(t) - L1_Cf(h)   |  10196  |  True  | L1_Cftou, L1_Cfhoi | dog 
224  |    dog     |  17595t - 12893t  |     11_19 - 11_20     | L1_Canis1(t) - L1_Canis1(h) |  10453  |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
225  |    dog     |  17746h - 7732t   |     -4_27 - -4_25     | L1_Canis1(t) - L1_Canis1(h) |  10489  |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
226  |    dog     |  29388t - 7767t   |     22_12 - 22_13     |   L1_Cf(t) - L1_Cf(h)   |  10512  |  True  | L1_Cftou, L1_Cfhoi | dog 
227  |    dog     |   8000t - 13177h  |     10_66 - 10_67     | L1_Canis1(t) - L1_Canis1(h) |  10561  |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
228  |    dog     |    673h - 23024h  |     -20_9 - -20_8     | L1_Canis1(t) - L1_Canis1(h) |  10599  |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
229  |    dog     |   7870t - 19104t  |      5_20 - 5_21      |   L1_Cf(h) - L1_Cf(t)   |  10682  |  True  | L1_Cfhou, L1_Cftoi | dog 
230  |    dog     |  16336t - 20935t  |     -35_2 - -35_0     |   L1_Cf(h) - L1_Cf(t)   |  10687  |  True  | L1_Cfhou, L1_Cftoi | dog 
231  |    dog     |  11615t - 34494h  |    -13_25 - -13_23    | L1_Canis1(h) - L1_Cf(h)   |  10703  |  True  | L1_Canis1hou, L1_Canis1toi, L1_Cftou, L1_Cfhoi | dog 
232  |    dog     |   7145t - 21168h  |     19_74 - 19_78     |   L1_Cf(t) - L1_Cf(h)   |  10724  |  True  | L1_Cftou, L1_Cfhoi | dog 
233  |    dog     |  17989t - 24016h  |      12_7 - 12_8      |   L1_Cf(h) - L1_Cf(t)   |  10910  |  True  | L1_Cfhou, L1_Cftoi | dog 
234  |    dog     |   7201t - 15878h  |    -17_18 - -17_17    | L1_Canis1(h) - L1_Canis1(t) |  11015  |  True  | L1_Canis1hou, L1_Canis1toi | dog 
