 id  |   genome   |      v1 - v2      | fragment1 - fragment2 |    repeat1 - repeat2    |  cc_id  | s_edge | repeat_guidance | MC 
352  | chimpanzee |  10930t - 153h    |    2A_200 - 2A_202    |   L1PA3(h) - L1PA4(t)   |  8319   |  True  | L1PA3hou, L1PA3toi, L1PA4hou, L1PA4toi | chimpanzee 
353  | chimpanzee |  34878t - 20095t  |   -11_120 - -11_119   |    L1Pt(h) - L1Pt(t)    |  8358   |  True  | L1Pthou, L1Pttoi | chimpanzee 
354  | chimpanzee |  23769t - 5964h   |   -18_187 - -18_186   |    L1P1(t) - L1P1(h)    |  8428   |  True  | L1P1tou, L1P1hoi | chimpanzee 
355  | chimpanzee |   4397h - 3267t   |    -7_587 - -7_585    |   L1PA4(h) - L1PA2(t)   |  8432   |  True  | L1PA4hou, L1PA4toi, L1PA2hou, L1PA2toi | chimpanzee 
356  | chimpanzee |  12417t - 26592h  |    -1_608 - -1_604    |   L1PA3(t) - L1PA4(h)   |  8455   |  True  | L1PA3tou, L1PA3hoi, L1PA4tou, L1PA4hoi | chimpanzee 
357  | chimpanzee |  16564t - 19606t  |    -4_505 - -4_503    |   L1PA3(t) - L1PA3(h)   |  8523   |  True  | L1PA3tou, L1PA3hoi | chimpanzee 
358  | chimpanzee |  12889h - 23779t  |     5_371 - 5_379     |   L1PA3(h) - L1PA4(t)   |  8552   |  True  | L1PA3hou, L1PA3toi, L1PA4hou, L1PA4toi | chimpanzee 
359  | chimpanzee |   5615t - 14161t  |      6_98 - 6_99      |    L1P1(t) - L1P1(h)    |  8594   | False  | L1P1tou, L1P1hoi | chimpanzee 
360  | chimpanzee |  18574t - 11834h  |    -15_62 - -15_61    |   L1PA4(t) - L1PA4(h)   |  8638   |  True  | L1PA4tou, L1PA4hoi | chimpanzee 
361  | chimpanzee |  15741h - 12284t  |    -6_363 - -6_339    |   L1PA2(h) - L1PA3(h)   |  8645   |  True  | L1PA2hou, L1PA2toi, L1PA3tou, L1PA3hoi | chimpanzee 
362  | chimpanzee |  31022t - 4176h   |     X_715 - X_720     |   L1PA3(t) - L1PA4(h)   |  8673   |  True  | L1PA3tou, L1PA3hoi, L1PA4tou, L1PA4hoi | chimpanzee 
363  | chimpanzee |  29549h - 9580h   |    -6_474 - -6_469    |   L1PA3(t) - L1PA4(t)   |  8765   |  True  | L1PA3tou, L1PA3hoi, L1PA4hou, L1PA4toi | chimpanzee 
364  | chimpanzee |  18094h - 42506h  |    -2B_34 - -2B_31    |   L1PA3(h) - L1PA3(t)   |  8777   |  True  | L1PA3hou, L1PA3toi | chimpanzee 
365  | chimpanzee |   7265h - 8024h   |     1_130 - 1_132     |    L1P1(h) - L1PA3(h)   |  8810   |  True  | L1P1hou, L1P1toi, L1PA3tou, L1PA3hoi | chimpanzee 
366  | chimpanzee |   4931h - 17278t  |    -5_355 - -5_342    |    L1Pt(h) - L1PA3(h)   |  8904   |  True  | L1Pthou, L1Pttoi, L1PA3tou, L1PA3hoi | chimpanzee 
