 id  |   genome   |      v1 - v2      | fragment1 - fragment2 |    repeat1 - repeat2    |  cc_id  | s_edge | repeat_guidance | MC 
261  |    dog     |   6120h - 35956h  |       9_0 - 9_2       |   L1_Cf(h) - L1_Cf(h)   |  12679  |  True  | L1_Cfhou, L1_Cftoi, L1_Cftou, L1_Cfhoi | dog 
262  |    dog     |  19130t - 10474t  |      8_75 - 8_76      |   L1_Cf(t) - L1_Cf(h)   |  12748  |  True  | L1_Cftou, L1_Cfhoi | dog 
263  |    dog     |   4222h - 4723h   |    -12_35 - -12_28    | L1_Canis1(t) - L1_Canis1(t) |  12906  |  True  | L1_Canis1tou, L1_Canis1hoi, L1_Canis1hou, L1_Canis1toi | dog 
264  |    dog     |   5987t - 15608h  |     15_68 - 15_69     | L1_Canis1(t) - L1_Canis1(h) |  12998  |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
265  |    dog     |   7145t - 21168h  |     19_74 - 19_78     |   L1_Cf(t) - L1_Cf(h)   |  13038  |  True  | L1_Cftou, L1_Cfhoi | dog 
266  |    dog     |   8024h - 7265h   |      6_81 - 5_48      |   L1_Cf(t) - L1_Canis1(t) |  13215  |  True  | L1_Cftou, L1_Cfhoi, L1_Canis1hou, L1_Canis1toi | dog 
267  |    dog     |  15908t - 18600t  |     -2_98 - -2_97     |   L1_Cf(t) - L1_Cf(h)   |  13296  |  True  | L1_Cftou, L1_Cfhoi | dog 
268  |    dog     |   1657h - 13866h  |     38_20 - 38_21     |   L1_Cf(t) - L1_Cf(h)   |  13304  |  True  | L1_Cftou, L1_Cfhoi | dog 
269  |    dog     |   6371h - 98t     |     19_35 - -32_70    |   L1_Cf(h) - L1_Canis1(t) |  13311  |  True  | L1_Cfhou, L1_Cftoi, L1_Canis1hou, L1_Canis1toi | dog 
270  |    dog     |   7068h - 16827h  |     -7_12 - -7_11     | L1_Canis1(t) - L1_Canis1(h) |  13330  |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
271  |    dog     |  19130h - 13456t  |     -8_75 - -8_73     |   L1_Cf(t) - L1_Cf(h)   |  13882  |  True  | L1_Cftou, L1_Cfhoi | dog 
272  |    dog     |  10490t - 32641h  |      1_27 - -7_113    |   L1_Cf(t) - L1_Canis1(t) |  13887  |  True  | L1_Cftou, L1_Cfhoi, L1_Canis1hou, L1_Canis1toi | dog 
273  |    dog     |  19496h - 11233t  |     19_78 - 19_79     | L1_Canis1(h) - L1_Canis1(t) |  13943  |  True  | L1_Canis1hou, L1_Canis1toi | dog 
274  |    dog     |   7890h - 17713t  |    -21_43 - -21_42    | L1_Canis1(t) - L1_Canis1(h) |  13954  |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
275  |    dog     |  18805t - 11779t  |    12_100 - 12_101    |   L1_Cf(t) - L1_Cf(h)   |  14015  |  True  | L1_Cftou, L1_Cfhoi | dog 
276  |    dog     |  32081h - 19828t  |     31_21 - 31_22     |   L1_Cf(h) - L1_Cf(t)   |  14086  |  True  | L1_Cfhou, L1_Cftoi | dog 
277  |    dog     |  11442t - 26658h  |     25_15 - 25_20     | L1_Canis1(h) - L1_Cf(t)   |  14139  |  True  | L1_Canis1hou, L1_Canis1toi, L1_Cfhou, L1_Cftoi | dog 
278  |    dog     |  38392h - 20910h  |     -31_9 - -31_7     | L1_Canis1(h) - L1_Cf(t)   |  14191  |  True  | L1_Canis1hou, L1_Canis1toi, L1_Cfhou, L1_Cftoi | dog 
279  |    dog     |   6164t - 20283h  |     25_43 - 25_44     | L1_Canis1(t) - L1_Canis1(h) |  14607  |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
280  |    dog     |  23110t - 5848h   |    -7_112 - -7_109    |   L1_Cf(h) - L1_Canis1(h) |  14613  |  True  | L1_Cfhou, L1_Cftoi, L1_Canis1tou, L1_Canis1hoi | dog 
281  |    dog     |  14884h - 22368h  |     X_130 - X_132     |   L1_Cf(h) - L1_Canis1(t) |  14667  |  True  | L1_Cfhou, L1_Cftoi, L1_Canis1hou, L1_Canis1toi | dog 
282  |    dog     |  42690t - 23464t  |     16_31 - 16_35     | L1_Canis1(t) - L1_Canis1(h) |  14729  |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
283  |    dog     |  16991h - 17674t  |    -23_24 - -23_23    | L1_Canis1(t) - L1_Canis1(h) |  14732  |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
284  |    dog     |  14552h - 12877t  |    -31_28 - -31_27    | L1_Canis1(t) - L1_Canis1(h) |  14747  |  True  | L1_Canis1tou, L1_Canis1hoi | dog 
